EnsemblID	GeneSymbol
ENSMUSG00000001240	Ramp2
ENSMUSG00000002147	Stat6
ENSMUSG00000030208	Emp1
ENSMUSG00000078673	Mup19
ENSMUSG00000000532	Acvr1b
ENSMUSG00000004562	Arhgef40
ENSMUSG00000023945	Slc5a7
ENSMUSG00000010592	Dazl
ENSMUSG00000094910	D430019H16Rik
ENSMUSG00000051855	Mest
ENSMUSG00000097636	5830416P10Rik
ENSMUSG00000037411	Serpine1
ENSMUSG00000039911	Spsb1
ENSMUSG00000038375	Trp53inp2
ENSMUSG00000045333	Zfp423
ENSMUSG00000065824	Gm26315
ENSMUSG00000032492	Pth1r
ENSMUSG00000020522	Mfap3
ENSMUSG00000040268	Plekha1
ENSMUSG00000042379	Esm1
ENSMUSG00000083701	Gm4912
ENSMUSG00000016194	Hsd11b1
ENSMUSG00000020261	Slc36a1
ENSMUSG00000024526	Cidea
ENSMUSG00000034175	Rhbdd3
ENSMUSG00000024481	4833403I15Rik
ENSMUSG00000025381	Cnpy2
ENSMUSG00000028001	Fga
ENSMUSG00000020108	Ddit4
ENSMUSG00000068270	Shroom4
ENSMUSG00000057440	Mpp7
ENSMUSG00000055137	5033411D12Rik
ENSMUSG00000003617	Cp
ENSMUSG00000018340	Anxa6
ENSMUSG00000054720	Lrrc8c
ENSMUSG00000067702	Tuba3a
ENSMUSG00000038587	Akap12
ENSMUSG00000059908	Mug1
ENSMUSG00000027223	Mapk8ip1
ENSMUSG00000020142	Slc1a4
ENSMUSG00000074336	Apoc4
ENSMUSG00000038608	Dock10
ENSMUSG00000033208	S100b
ENSMUSG00000060477	Irak2
ENSMUSG00000034390	Cmip
ENSMUSG00000027479	Mapre1
ENSMUSG00000029832	Nfe2l3
ENSMUSG00000028433	Ubap2
ENSMUSG00000057346	Apol9a
ENSMUSG00000054422	Fabp1
ENSMUSG00000054435	Gimap4
ENSMUSG00000099250	Metazoa
ENSMUSG00000050315	Synpo2
ENSMUSG00000029701	Rbm28
ENSMUSG00000035517	Tdrd7
ENSMUSG00000061838	Suclg2
ENSMUSG00000028976	Slc2a5
ENSMUSG00000067235	H2-Q10
ENSMUSG00000026471	Mr1
ENSMUSG00000020609	Apob
ENSMUSG00000005836	Gata6
ENSMUSG00000031133	Arhgef6
ENSMUSG00000032348	Gsta4
ENSMUSG00000006494	Pdk1
ENSMUSG00000051314	Ffar2
ENSMUSG00000027318	Adam33
ENSMUSG00000063428	Ddo
ENSMUSG00000002997	Prkar2b
ENSMUSG00000016496	Cd274
ENSMUSG00000018999	Slc35b4
ENSMUSG00000052534	Pbx1
ENSMUSG00000044201	Cdc25c
ENSMUSG00000020282	Rhbdf1
